Date,聯電,鴻海,台積電,聯發科
2006-01-02,10.484785079956055,33.48942565917969,29.321897506713867,132.2545928955078
2006-01-03,10.600001335144043,34.31973648071289,30.235200881958008,132.75238037109375
2006-01-04,10.542393684387207,36.16488265991211,30.47554588317871,128.76983642578125
2006-01-05,10.427177429199219,37.456485748291016,30.763957977294922,130.42922973632812
2006-01-06,10.513588905334473,36.90294647216797,31.484994888305664,122.79598999023438
2006-01-09,10.859240531921387,36.533905029296875,32.73477554321289,121.13655090332031
2006-01-10,10.686416625976562,36.349395751953125,32.06181335449219,118.48151397705078
2006-01-11,10.686416625976562,36.533905029296875,31.629196166992188,119.9749755859375
2006-01-12,10.657611846923828,39.02486038208008,31.484994888305664,116.15833282470703
2006-01-13,10.513588905334473,38.93259811401367,31.00429916381836,115.16270446777344
2006-01-16,10.686416625976562,41.51580810546875,30.71588897705078,115.16270446777344
2006-01-17,10.801631927490234,40.77775192260742,31.052370071411133,116.32427978515625
2006-01-18,10.283154487609863,38.74809265136719,29.610315322875977,111.34607696533203
2006-01-19,10.484785079956055,38.37906265258789,29.80258560180664,108.02725982666016
2006-01-20,10.45598030090332,38.65583419799805,30.042930603027344,107.86132049560547
2006-01-23,10.311958312988281,38.65583419799805,29.706453323364258,108.52507019042969
2006-01-24,10.398371696472168,38.563568115234375,29.754518508911133,109.1888198852539
2006-01-25,10.45598030090332,39.67066192626953,30.52362060546875,106.03595733642578
2006-02-03,10.254349708557129,38.8403434753418,30.47554588317871,109.1888198852539
2006-02-06,10.36956787109375,39.02486038208008,31.965669631958008,111.18012237548828
2006-02-07,10.686416625976562,39.301639556884766,31.24465560913086,111.51200866699219
2006-02-08,10.484785079956055,39.117122650146484,30.331342697143555,111.18012237548828
2006-02-09,10.484785079956055,39.48614501953125,30.283273696899414,110.0185546875
2006-02-10,10.542393684387207,38.37906265258789,30.09101104736328,106.36785888671875
2006-02-13,10.311958312988281,36.99519348144531,29.994855880737305,108.85694885253906
2006-02-14,10.311958312988281,37.27197265625,29.946796417236328,110.35045623779297
2006-02-15,10.139132499694824,37.27197265625,29.46610450744629,114.16704559326172
2006-02-16,10.830436706542969,38.93259811401367,29.994855880737305,114.49893951416016
2006-02-17,11.003264427185059,38.4713249206543,29.658384323120117,112.83953094482422
2006-02-20,11.03206729888916,38.65583419799805,30.139062881469727,112.83953094482422
2006-02-21,10.94565486907959,38.01002883911133,29.850648880004883,111.8438720703125
2006-02-22,10.7728271484375,37.364227294921875,29.754518508911133,108.85694885253906
2006-02-23,10.801631927490234,36.71842575073242,29.225765228271484,105.87004089355469
2006-02-24,10.974457740783691,37.364227294921875,29.321897506713867,108.85694885253906
2006-02-27,11.03206729888916,38.01002883911133,29.273828506469727,111.34607696533203
2006-03-01,11.060870170593262,37.08745574951172,29.03349494934082,115.99240112304688
2006-03-02,11.176090240478516,38.563568115234375,30.139062881469727,113.17143249511719
2006-03-03,11.26250171661377,37.82550811767578,29.706453323364258,113.33734130859375
2006-03-06,11.348916053771973,38.102291107177734,29.273828506469727,116.32427978515625
2006-03-07,11.060870170593262,37.82550811767578,28.889280319213867,113.50330352783203
2006-03-08,10.830436706542969,36.8106803894043,28.360525131225586,111.18012237548828
2006-03-09,10.830436706542969,36.99519348144531,28.74508285522461,111.8438720703125
2006-03-10,11.03206729888916,36.8106803894043,29.514169692993164,110.68228912353516
2006-03-13,11.176090240478516,36.626163482666016,29.514169692993164,113.83516693115234
2006-03-14,10.94565486907959,36.626163482666016,28.841217041015625,111.34607696533203
2006-03-15,11.03206729888916,36.90294647216797,29.369964599609375,117.15398406982422
2006-03-16,11.003264427185059,37.548736572265625,29.081554412841797,118.81338500976562
2006-03-17,11.089677810668945,37.179710388183594,29.17768669128418,122.29814147949219
2006-03-20,11.089677810668945,36.90294647216797,28.93735122680664,122.46408081054688
2006-03-21,11.003264427185059,36.349395751953125,29.081554412841797,117.4858627319336
2006-03-22,10.916851043701172,34.31973648071289,28.64894676208496,117.65180206298828
2006-03-23,10.916851043701172,34.688758850097656,28.64894676208496,118.14959716796875
2006-03-24,10.916851043701172,34.50424575805664,28.74508285522461,118.48151397705078
2006-03-27,11.147283554077148,34.96553421020508,28.98541831970215,119.4771499633789
2006-03-28,11.233696937561035,35.79585266113281,29.514169692993164,119.64309692382812
2006-03-29,11.348916053771973,36.16488265991211,29.754518508911133,123.95755004882812
2006-03-30,11.464134216308594,36.626163482666016,30.235200881958008,122.46408081054688
2006-03-31,11.809786796569824,37.08745574951172,30.860097885131836,124.62133026123047
2006-04-03,12.184240341186523,37.733253479003906,31.148500442504883,124.62133026123047
2006-04-04,12.184240341186523,37.456485748291016,31.00429916381836,124.78723907470703
2006-04-06,12.357067108154297,37.91776657104492,31.677274703979492,126.11478424072266
2006-04-07,12.385872840881348,38.4713249206543,32.398292541503906,124.45535278320312
2006-04-10,12.50108814239502,37.82550811767578,32.206024169921875,123.79158782958984
2006-04-11,12.011414527893066,37.64101028442383,31.773412704467773,125.11911010742188
