Ticker,聯電,鴻海,台積電,聯發科
聯電,1.0,0.37793951707746876,0.49323801186661403,0.36484182598319526
鴻海,0.37793951707746876,1.0,0.4924937677492298,0.3771495302373004
台積電,0.49323801186661403,0.4924937677492298,1.0,0.4491534848984559
聯發科,0.36484182598319526,0.3771495302373004,0.4491534848984559,1.0
